City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Carnarvon,AU,2021-11-02 10:41:54,-24.8667,113.6333,68.07,60,57,23.02,broken clouds
60,Laurel,US,2021-11-02 10:41:55,39.0993,-76.8483,49.48,88,90,3.44,overcast clouds
61,Tuatapere,NZ,2021-11-02 10:41:55,-46.1333,167.6833,46.81,72,86,2.77,overcast clouds
62,Hofn,IS,2021-11-02 10:41:55,64.2539,-15.2082,35.1,58,48,26.91,scattered clouds
63,East London,ZA,2021-11-02 10:41:56,-33.0153,27.9116,68.94,52,0,21.85,clear sky
64,Cayenne,GF,2021-11-02 10:41:56,4.9333,-52.3333,82.09,82,84,4.0,broken clouds
65,Riyadh,SA,2021-11-02 10:41:56,24.6877,46.7219,89.74,12,0,3.8,clear sky
66,Airai,TL,2021-11-02 10:41:57,-8.9266,125.4092,64.33,89,97,3.27,overcast clouds
67,Qaqortoq,GL,2021-11-02 10:41:57,60.7167,-46.0333,30.7,73,99,11.77,snow
68,Sharan,RU,2021-11-02 10:41:57,54.8167,54.0,39.52,65,99,11.41,overcast clouds
69,Dikson,RU,2021-11-02 10:41:58,73.5069,80.5464,5.05,91,35,4.68,scattered clouds
70,Iranshahr,IR,2021-11-02 10:41:58,27.2025,60.6848,88.14,18,0,4.61,clear sky
71,Luebo,CD,2021-11-02 10:41:58,-5.35,21.4167,79.09,74,87,3.98,light rain
72,Carora,VE,2021-11-02 10:41:59,10.1755,-70.0827,69.04,90,87,1.63,overcast clouds
73,Skjervoy,NO,2021-11-02 10:41:59,70.0311,20.9714,48.38,83,99,13.73,overcast clouds
74,College,US,2021-11-02 10:41:59,64.8569,-147.8028,30.2,90,90,0.0,snow
75,Marawi,PH,2021-11-02 10:42:00,7.9986,124.2928,72.64,98,100,2.77,light rain
76,Nouakchott,MR,2021-11-02 10:42:00,18.0858,-15.9785,84.13,35,23,11.18,few clouds
77,Zaterechnyy,RU,2021-11-02 10:42:01,44.7931,45.2097,62.92,64,99,10.09,overcast clouds
78,Namibe,AO,2021-11-02 10:42:01,-15.1961,12.1522,75.83,69,75,11.5,broken clouds
79,Sungaipenuh,ID,2021-11-02 10:42:02,-2.0833,101.3833,66.96,98,100,1.68,overcast clouds
80,Opuwo,NA,2021-11-02 10:42:02,-18.0607,13.84,93.31,6,5,11.59,clear sky
81,Port Elizabeth,ZA,2021-11-02 10:38:06,-33.918,25.5701,70.11,43,20,23.02,few clouds
82,North Platte,US,2021-11-02 10:42:03,41.1239,-100.7654,33.69,95,90,0.0,overcast clouds
83,Chuy,UY,2021-11-02 10:42:03,-33.6971,-53.4616,64.56,96,100,9.04,overcast clouds
84,Zeerust,ZA,2021-11-02 10:42:04,-25.5369,26.0751,79.61,10,0,11.61,clear sky
85,Zaliznychne,UA,2021-11-02 10:42:04,45.7489,28.6147,59.79,58,77,14.79,broken clouds
86,Volksrust,ZA,2021-11-02 10:42:04,-27.3654,29.8818,83.89,10,0,13.31,clear sky
87,Katsuura,JP,2021-11-02 10:42:05,35.1333,140.3,65.1,83,96,12.35,light rain
88,Tuktoyaktuk,CA,2021-11-02 10:42:05,69.4541,-133.0374,24.49,95,100,13.38,overcast clouds
89,Hobart,AU,2021-11-02 10:42:05,-42.8794,147.3294,62.46,77,75,12.66,broken clouds
90,Qaanaaq,GL,2021-11-02 10:42:06,77.484,-69.3632,6.94,70,19,7.23,few clouds
91,Labuhan,ID,2021-11-02 10:42:06,-6.8844,112.2051,83.07,72,92,3.18,overcast clouds
92,Punta Arenas,CL,2021-11-02 10:40:20,-53.15,-70.9167,44.71,93,49,13.8,fog
93,Bredasdorp,ZA,2021-11-02 10:42:06,-34.5322,20.0403,67.32,37,14,8.05,few clouds
94,Rio Grande,BR,2021-11-02 10:42:07,-32.035,-52.0986,72.95,90,99,11.16,overcast clouds
95,Sao Felix Do Xingu,BR,2021-11-02 10:42:07,-6.6447,-51.995,75.22,93,97,1.05,overcast clouds
96,Jamestown,US,2021-11-02 10:37:28,42.097,-79.2353,38.01,90,90,5.01,overcast clouds
97,Clyde River,CA,2021-11-02 10:42:07,70.4692,-68.5914,14.95,90,100,8.88,overcast clouds
98,Yellowknife,CA,2021-11-02 10:41:05,62.456,-114.3525,28.42,100,1,4.61,clear sky
99,Vaini,TO,2021-11-02 10:42:08,-21.2,-175.2,75.36,100,75,5.75,broken clouds
100,Umm Lajj,SA,2021-11-02 10:42:08,25.0213,37.2685,86.83,53,100,10.25,overcast clouds
101,Luganville,VU,2021-11-02 10:42:09,-15.5333,167.1667,77.59,80,83,10.87,broken clouds
102,Roma,US,2021-11-02 10:41:56,43.2128,-75.4557,44.65,75,90,3.44,overcast clouds
103,Jaguarari,BR,2021-11-02 10:42:09,-10.2639,-40.1958,77.36,64,74,6.53,broken clouds
104,Kaitangata,NZ,2021-11-02 10:42:09,-46.2817,169.8464,41.07,83,80,3.09,broken clouds
105,Saldanha,ZA,2021-11-02 10:42:10,-33.0117,17.9442,64.45,51,59,11.83,broken clouds
106,Kostino,RU,2021-11-02 10:42:10,58.9097,53.2691,26.73,68,12,6.33,few clouds
107,Sitka,US,2021-11-02 10:42:11,57.0531,-135.33,53.49,50,90,11.5,overcast clouds
108,North Myrtle Beach,US,2021-11-02 10:42:11,33.816,-78.68,57.02,92,1,3.44,clear sky
109,Lebu,CL,2021-11-02 10:42:11,-37.6167,-73.65,49.62,79,63,3.58,broken clouds
110,Sakakah,SA,2021-11-02 10:42:12,29.9697,40.2064,94.57,16,1,9.86,clear sky
111,Constitucion,CL,2021-11-02 10:42:12,-35.3333,-72.4167,54.81,58,3,1.74,clear sky
112,Victor Harbor,AU,2021-11-02 10:42:12,-35.5667,138.6167,71.69,83,100,6.89,light rain
113,Kulu,TR,2021-11-02 10:42:13,39.0951,33.0799,61.3,60,82,18.9,broken clouds
114,Senno,RU,2021-11-02 10:42:13,59.5336,33.9167,41.27,69,20,5.93,few clouds
115,Komsomolskiy,UZ,2021-11-02 10:42:14,40.4272,71.7189,61.84,26,0,2.98,clear sky
116,Huarmey,PE,2021-11-02 10:42:14,-10.0681,-78.1522,63.88,84,59,5.19,broken clouds
117,Keti Bandar,PK,2021-11-02 10:42:14,24.1447,67.4497,86.0,37,0,8.66,clear sky
118,Thompson,CA,2021-11-02 10:42:15,55.7435,-97.8558,24.96,93,75,0.0,broken clouds
119,Chernyshevskiy,RU,2021-11-02 10:42:15,63.0128,112.4714,4.75,90,80,6.02,broken clouds
120,Suoyarvi,RU,2021-11-02 10:42:15,62.0833,32.35,42.78,79,47,7.36,scattered clouds
121,Chokurdakh,RU,2021-11-02 10:42:16,70.6333,147.9167,-11.54,98,31,7.96,scattered clouds
122,Half Moon Bay,US,2021-11-02 10:42:16,37.4636,-122.4286,61.29,95,90,0.0,fog
123,Nikolskoye,RU,2021-11-02 10:42:16,59.7035,30.7861,42.87,73,0,6.73,clear sky
124,Port Alfred,ZA,2021-11-02 10:42:16,-33.5906,26.891,67.24,57,34,23.73,scattered clouds
125,Guerrero Negro,MX,2021-11-02 10:42:17,27.9769,-114.0611,63.14,90,94,9.82,overcast clouds
126,Olinda,BR,2021-11-02 10:42:17,-8.0089,-34.8553,78.53,78,75,9.22,broken clouds
127,Gaoual,GN,2021-11-02 10:42:18,11.75,-13.2,87.22,62,48,3.15,scattered clouds
128,Colares,PT,2021-11-02 10:42:18,38.7992,-9.4469,66.97,69,75,1.99,broken clouds
129,Lockhart,US,2021-11-02 10:42:18,28.6194,-81.4426,66.4,72,1,3.44,clear sky
130,Camacupa,AO,2021-11-02 10:42:19,-12.0167,17.4833,73.17,65,99,7.38,light rain
131,Palanga,LT,2021-11-02 10:42:19,55.9175,21.0686,48.22,71,0,8.05,clear sky
132,Cam Ranh,VN,2021-11-02 10:42:19,11.9214,109.1591,82.36,78,40,13.8,scattered clouds
133,Kolosovka,RU,2021-11-02 10:42:20,56.4678,73.611,11.44,82,17,10.76,few clouds
134,Pisco,PE,2021-11-02 10:42:20,-13.7,-76.2167,59.05,88,75,5.75,mist
135,Smithers,CA,2021-11-02 10:42:20,54.7804,-127.1743,26.92,80,90,8.05,overcast clouds
136,Madimba,TZ,2021-11-02 10:42:21,-10.4,40.3333,85.98,61,8,10.29,clear sky
137,Rocha,UY,2021-11-02 10:42:21,-34.4833,-54.3333,65.93,92,99,8.03,overcast clouds
138,Cozumel,MX,2021-11-02 10:42:21,20.5083,-86.9458,78.94,73,40,8.05,scattered clouds
139,Kupang,ID,2021-11-02 10:42:22,-10.1667,123.5833,82.94,76,75,13.71,light rain
140,Avera,US,2021-11-02 10:42:22,33.194,-82.5271,53.47,71,0,3.44,clear sky
141,New Norfolk,AU,2021-11-02 10:42:22,-42.7826,147.0587,62.1,85,73,3.31,broken clouds
142,Kant,IN,2021-11-02 10:42:23,27.8,79.8,78.75,47,0,1.19,clear sky
143,Cururupu,BR,2021-11-02 10:42:23,-1.8283,-44.8683,81.86,76,72,6.53,broken clouds
144,Ulaangom,MN,2021-11-02 10:42:23,49.9811,92.0667,34.11,53,100,2.98,overcast clouds
145,Sao Filipe,CV,2021-11-02 10:42:24,14.8961,-24.4956,81.81,67,55,7.76,broken clouds
146,Bandarbeyla,SO,2021-11-02 10:42:24,9.4942,50.8122,81.97,65,18,14.76,few clouds
147,Fortuna,US,2021-11-02 10:42:25,40.5982,-124.1573,55.36,70,1,5.01,clear sky
148,Suleja,NG,2021-11-02 10:42:26,9.1758,7.1808,79.79,54,45,3.53,scattered clouds
149,Killybegs,IE,2021-11-02 10:42:27,54.6333,-8.45,49.71,72,100,14.74,overcast clouds
150,Kruisfontein,ZA,2021-11-02 10:42:27,-34.0033,24.7314,67.89,44,51,17.83,broken clouds
151,Wewak,PG,2021-11-02 10:42:27,-3.5534,143.6268,81.12,79,81,6.4,broken clouds
152,Kaseda,JP,2021-11-02 10:42:28,31.4167,130.3167,61.83,64,1,12.97,clear sky
153,Burnie,AU,2021-11-02 10:42:28,-41.0667,145.9167,63.91,94,64,12.39,broken clouds
154,Douglas,US,2021-11-02 10:41:07,41.3,-96.167,32.9,90,1,0.0,clear sky
155,Torbay,CA,2021-11-02 10:42:29,47.6666,-52.7314,49.57,98,90,18.41,mist
156,Kaihua,CN,2021-11-02 10:42:29,23.3687,104.28,61.45,98,93,4.76,overcast clouds
157,Atambua,ID,2021-11-02 10:42:29,-9.1061,124.8925,79.45,75,89,1.95,light rain
158,Bathsheba,BB,2021-11-02 10:42:30,13.2167,-59.5167,79.41,78,40,12.66,scattered clouds
159,Tonekabon,IR,2021-11-02 10:42:30,36.8163,50.8738,69.75,69,3,4.32,clear sky
